benchmark,size,selection_scheme,run,timestamp,ilp_time_assignment,status,error
biometric,1024,smart_lp,1,2026-04-21T19:08:01Z,16.076182,ok,
biometric,1024,smart_lp,2,2026-04-21T19:08:18Z,16.104891,ok,
biometric,1024,smart_lp,3,2026-04-21T19:08:35Z,16.194347,ok,
biometric,1024,smart_lp,4,2026-04-21T19:08:51Z,17.668359,ok,
biometric,1024,smart_lp,5,2026-04-21T19:09:10Z,16.437374,ok,
biometric,1024,smart_lp,6,2026-04-21T19:09:27Z,16.112486,ok,
biometric,1024,smart_lp,7,2026-04-21T19:09:44Z,16.455160,ok,
biometric,1024,smart_lp,8,2026-04-21T19:10:01Z,15.933227,ok,
biometric,1024,smart_lp,9,2026-04-21T19:10:17Z,15.979158,ok,
biometric,1024,smart_lp,10,2026-04-21T19:10:34Z,16.905709,ok,
biometric,512,smart_lp,1,2026-04-21T19:10:52Z,8.426860,ok,
biometric,512,smart_lp,2,2026-04-21T19:11:00Z,7.558135,ok,
biometric,512,smart_lp,3,2026-04-21T19:11:08Z,7.607450,ok,
biometric,512,smart_lp,4,2026-04-21T19:11:16Z,7.581984,ok,
biometric,512,smart_lp,5,2026-04-21T19:11:24Z,7.633775,ok,
biometric,512,smart_lp,6,2026-04-21T19:11:32Z,7.458427,ok,
biometric,512,smart_lp,7,2026-04-21T19:11:40Z,7.528927,ok,
biometric,512,smart_lp,8,2026-04-21T19:11:48Z,7.522667,ok,
biometric,512,smart_lp,9,2026-04-21T19:11:55Z,7.594933,ok,
biometric,512,smart_lp,10,2026-04-21T19:12:03Z,7.758604,ok,
convex_hull,128,smart_lp,1,2026-04-21T19:12:11Z,,error,exit -9: command line - Cbc_C_Interface -solve -quit (default strategy 1) | Welcome to the CBC MILP Solver | Version: 2.10.11 | Build Date: Jan 21 2024 | command line - Cbc_C_Interface -solve -quit (default strategy 1)
convex_hull,128,smart_lp,2,2026-04-21T19:13:13Z,,error,exit -9: command line - Cbc_C_Interface -solve -quit (default strategy 1) | Welcome to the CBC MILP Solver | Version: 2.10.11 | Build Date: Jan 21 2024 | command line - Cbc_C_Interface -solve -quit (default strategy 1)
convex_hull,128,smart_lp,3,2026-04-21T19:14:13Z,,error,exit -9: command line - Cbc_C_Interface -solve -quit (default strategy 1) | Welcome to the CBC MILP Solver | Version: 2.10.11 | Build Date: Jan 21 2024 | command line - Cbc_C_Interface -solve -quit (default strategy 1)
